frame_number,timestamp,src_mac,dst_mac,appid,gocb_ref,time_allowed,st_num,sq_num,test,conf_rev,nds_com,packet_size,time_diff
162,2025-08-16 16:09:17.108049,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224200,3,N/A,1,False,315,0.004056
163,2025-08-16 16:09:17.116150,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224200,4,N/A,1,False,315,0.008101
164,2025-08-16 16:09:17.571362,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155756,0,N/A,1,False,343,0.455212
165,2025-08-16 16:09:17.573568,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155756,1,N/A,1,False,343,0.002206
166,2025-08-16 16:09:17.576016,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155756,2,N/A,1,False,343,0.002448
167,2025-08-16 16:09:17.579352,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155756,3,N/A,1,False,343,0.003336
168,2025-08-16 16:09:17.587318,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155756,4,N/A,1,False,343,0.007966
169,2025-08-16 16:09:17.718128,00:60:36:76:21:88,01:0c:cd:01:05:3a,0x053a,I_T1002ARPIT/LLN0$GO$gocb3,10000,27,3348,N/A,1,False,315,0.13081
170,2025-08-16 16:09:17.719555,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224201,0,N/A,1,False,315,0.001427
171,2025-08-16 16:09:17.722078,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224201,1,N/A,1,False,315,0.002523
172,2025-08-16 16:09:17.723995,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224201,2,N/A,1,False,315,0.001917
173,2025-08-16 16:09:17.727624,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224201,3,N/A,1,False,315,0.003629
174,2025-08-16 16:09:17.735523,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224201,4,N/A,1,False,315,0.007899
175,2025-08-16 16:09:17.763023,00:60:36:76:21:88,01:0c:cd:01:05:39,0x0539,I_T1002ARPIT/LLN0$GO$gocb2,10000,3,52879,N/A,1,False,1059,0.0275
176,2025-08-16 16:09:17.838764,00:60:36:86:31:46,01:0c:cd:01:05:40,0x0540,NIT1102ARPIT/LLN0$GO$gocb1,10000,63,13,N/A,1,False,398,0.075741
177,2025-08-16 16:09:18.045573,00:60:36:50:a3:26,01:0c:cd:01:05:35,0x0535,I_T1102ARPIT/LLN0$GO$gocb2,10000,65,20593,N/A,1,False,1059,0.206809
178,2025-08-16 16:09:18.152996,00:10:00:00:05:2c,01:0c:cd:01:05:2c,0x052c,C_T1003XPIGO/LLN0$GO$gocb1,10000,1,279489,N/A,1,False,202,0.107423
179,2025-08-16 16:09:18.153899,00:10:00:00:05:2c,01:0c:cd:01:05:2e,0x052e,C_T1003XPIGO/LLN0$GO$gocb3,10000,1,279489,N/A,1,False,166,0.000903
180,2025-08-16 16:09:18.218722,00:10:00:00:05:26,01:0c:cd:01:05:26,0x0526,C_T1102XPIGO/LLN0$GO$gocb1,10000,2,2907,N/A,1,False,201,0.064823
181,2025-08-16 16:09:18.522224,00:10:00:00:05:2f,01:0c:cd:01:05:2f,0x052f,CBT1102XPIGO/LLN0$GO$gocb1,10000,1,3112,N/A,1,False,201,0.303502
182,2025-08-16 16:09:18.522892,00:10:00:00:05:2f,01:0c:cd:01:05:30,0x0530,CBT1102XPIGO/LLN0$GO$gocb2,10000,1,3112,N/A,1,False,287,0.000668
183,2025-08-16 16:09:18.524239,00:10:00:00:05:2f,01:0c:cd:01:05:31,0x0531,CBT1102XPIGO/LLN0$GO$gocb3,10000,1,3112,N/A,1,False,165,0.001347
184,2025-08-16 16:09:18.534755,00:60:36:14:96:56,01:0c:cd:01:05:3d,0x053d,I_T1003ARPIT/LLN0$GO$gocb2,10000,1,52991,N/A,1,False,1059,0.010516
185,2025-08-16 16:09:18.607336,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155757,0,N/A,1,False,343,0.072581
186,2025-08-16 16:09:18.609248,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155757,1,N/A,1,False,343,0.001912
187,2025-08-16 16:09:18.612005,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155757,2,N/A,1,False,343,0.002757
188,2025-08-16 16:09:18.615564,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155757,3,N/A,1,False,343,0.003559
189,2025-08-16 16:09:18.624006,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155757,4,N/A,1,False,343,0.008442
190,2025-08-16 16:09:18.736255,00:60:36:76:21:88,01:0c:cd:01:05:38,0x0538,I_T1002ARPIT/LLN0$GO$gocb1,10000,20,2980,N/A,1,False,356,0.112249
191,2025-08-16 16:09:18.802397,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224202,0,N/A,1,False,315,0.066142
192,2025-08-16 16:09:18.805178,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224202,1,N/A,1,False,315,0.002781
193,2025-08-16 16:09:18.807337,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224202,2,N/A,1,False,315,0.002159
194,2025-08-16 16:09:18.807337,00:10:00:00:05:29,01:0c:cd:01:05:29,0x0529,C_T1002XPIGO/LLN0$GO$gocb1,10000,1,2982,N/A,1,False,201,0.0
196,2025-08-16 16:09:18.808705,00:10:00:00:05:29,01:0c:cd:01:05:2b,0x052b,C_T1002XPIGO/LLN0$GO$gocb3,10000,1,2982,N/A,1,False,165,0.001368
195,2025-08-16 16:09:18.808705,00:10:00:00:05:29,01:0c:cd:01:05:2a,0x052a,C_T1002XPIGO/LLN0$GO$gocb2,10000,1,2982,N/A,1,False,287,0.0
197,2025-08-16 16:09:18.810518,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224202,3,N/A,1,False,315,0.001813
198,2025-08-16 16:09:18.818447,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224202,4,N/A,1,False,315,0.007929
199,2025-08-16 16:09:19.004413,00:60:36:14:96:56,01:0c:cd:01:05:3e,0x053e,I_T1003ARPIT/LLN0$GO$gocb3,10000,29,3240,N/A,1,False,315,0.185966
200,2025-08-16 16:09:19.027048,00:60:36:14:96:56,01:0c:cd:01:05:3b,0x053b,I_T1003ARPIT/LLN0$GO$gocb0,10000,2,52989,N/A,1,False,320,0.022635
201,2025-08-16 16:09:19.130345,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155758,0,N/A,1,False,343,0.103297
202,2025-08-16 16:09:19.132332,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155758,1,N/A,1,False,343,0.001987
203,2025-08-16 16:09:19.134328,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155758,2,N/A,1,False,343,0.001996
204,2025-08-16 16:09:19.138298,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155758,3,N/A,1,False,343,0.00397
205,2025-08-16 16:09:19.146323,00:60:36:86:31:46,01:0c:cd:01:05:41,0x0541,NIT1102ARPIT/LLN0$GO$gocb2,10000,1155758,4,N/A,1,False,343,0.008025
206,2025-08-16 16:09:19.266501,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224203,0,N/A,1,False,315,0.120178
207,2025-08-16 16:09:19.268521,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224203,1,N/A,1,False,315,0.00202
208,2025-08-16 16:09:19.270508,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224203,2,N/A,1,False,315,0.001987
209,2025-08-16 16:09:19.274996,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224203,3,N/A,1,False,315,0.004488
210,2025-08-16 16:09:19.282517,00:60:36:50:a3:26,01:0c:cd:01:05:36,0x0536,I_T1102ARPIT/LLN0$GO$gocb3,10000,224203,4,N/A,1,False,315,0.007521
211,2025-08-16 16:09:19.349669,00:60:36:14:96:56,01:0c:cd:01:05:3c,0x053c,I_T1003ARPIT/LLN0$GO$gocb1,10000,12,3061,N/A,1,False,356,0.067152
